,KeyWord,Volume,Average pay per Click on Target,URL Taken
42,ebay customer service,"40,500",0.90,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20customer%20service&device=desktop
43,ebat,"40,500",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=ebat&device=desktop
44,ebat,"40,500",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=ebat&device=desktop
45,ebat,"40,500",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=ebat&device=desktop
46,brilliant earth,"201,000",3.62,https://www.semrush.com/analytics/phrase/?db=us&q=brilliant%20earth&device=desktop
47,blue nile,"135,000",2.82,https://www.semrush.com/analytics/phrase/?db=us&q=blue%20nile&device=desktop
48,tag heuer,"135,000",2.46,https://www.semrush.com/analytics/phrase/?db=us&q=tag%20heuer&device=desktop
49,cartier bracelet,"135,000",2.54,https://www.semrush.com/analytics/phrase/?db=us&q=cartier%20bracelet&device=desktop
50,kendra scott necklace,"135,000",1.14,https://www.semrush.com/analytics/phrase/?db=us&q=kendra%20scott%20necklace&device=desktop
51,myebay,"33,100",2.78,https://www.semrush.com/analytics/phrase/?db=us&q=myebay&device=desktop
52,eaby,"33,100",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=eaby&device=desktop
53,eaby,"33,100",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=eaby&device=desktop
54,eaby,"33,100",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=eaby&device=desktop
55,google pixel 7 phones,"33,100",3.92,https://www.semrush.com/analytics/phrase/?db=us&q=google%20pixel%207%20phones&device=desktop
56,ebat,"33,100",0.91,https://www.semrush.com/analytics/phrase/?db=us&q=ebat&device=desktop
57,ebat,"33,100",0.18,https://www.semrush.com/analytics/phrase/?db=us&q=ebat&device=desktop
58,van cleef,"110,000",33.76,https://www.semrush.com/analytics/phrase/?db=us&q=van%20cleef&device=desktop
59,used books,"110,000",0.59,https://www.semrush.com/analytics/phrase/?db=us&q=used%20books&device=desktop
60,squaretrade,"27,100",6.44,https://www.semrush.com/analytics/phrase/?db=us&q=squaretrade&device=desktop
61,eboy,"27,100",2.03,https://www.semrush.com/analytics/phrase/?db=us&q=eboy&device=desktop
62,eboy,"27,100",2.03,https://www.semrush.com/analytics/phrase/?db=us&q=eboy&device=desktop
63,google pixel 7 pro,"27,100",8.34,https://www.semrush.com/analytics/phrase/?db=us&q=google%20pixel%207%20pro&device=desktop
64,zinus mattress,"27,100",1.16,https://www.semrush.com/analytics/phrase/?db=us&q=zinus%20mattress&device=desktop
65,ebay com,"27,100",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20com&device=desktop
66,ebay com,"27,100",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20com&device=desktop
67,ebay com,"27,100",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20com&device=desktop
68,moissanite,"135,000",0.88,https://www.semrush.com/analytics/phrase/?db=us&q=moissanite&device=desktop
69,james allen,"90,500",4.65,https://www.semrush.com/analytics/phrase/?db=us&q=james%20allen&device=desktop
70,virginia bell,"22,200",0.00,https://www.semrush.com/analytics/phrase/?db=us&q=virginia%20bell&device=desktop
71,ebay.com us,"22,200",1.46,https://www.semrush.com/analytics/phrase/?db=us&q=ebay.com%20us&device=desktop
72,ebau,"22,200",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=ebau&device=desktop
73,www.ebay,"22,200",7.25,https://www.semrush.com/analytics/phrase/?db=us&q=www.ebay&device=desktop
74,iphones for sale,"22,200",2.47,https://www.semrush.com/analytics/phrase/?db=us&q=iphones%20for%20sale&device=desktop
75,ebay .com,"22,200",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20.com&device=desktop
76,ebay .com,"22,200",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20.com&device=desktop
77,ebay.com official site,"22,200",1.16,https://www.semrush.com/analytics/phrase/?db=us&q=ebay.com%20official%20site&device=desktop
78,ebay.com official site,"22,200",1.16,https://www.semrush.com/analytics/phrase/?db=us&q=ebay.com%20official%20site&device=desktop
79,jared jewelers,"74,000",3.16,https://www.semrush.com/analytics/phrase/?db=us&q=jared%20jewelers&device=desktop
80,cartier watch,"74,000",1.40,https://www.semrush.com/analytics/phrase/?db=us&q=cartier%20watch&device=desktop
81,ebay shopping,"18,100",0.45,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20shopping&device=desktop
82,chakra stones,"18,100",0.69,https://www.semrush.com/analytics/phrase/?db=us&q=chakra%20stones&device=desktop
83,skims fendi,"18,100",0.54,https://www.semrush.com/analytics/phrase/?db=us&q=skims%20fendi&device=desktop
84,used mobile homes for sale near me,"18,100",0.74,https://www.semrush.com/analytics/phrase/?db=us&q=used%20mobile%20homes%20for%20sale%20near%20me&device=desktop
85,walmart jewelry,"18,100",0.17,https://www.semrush.com/analytics/phrase/?db=us&q=walmart%20jewelry&device=desktop
86,ebay. com,"18,100",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebay.%20com&device=desktop
87,ebaycom,"18,100",4.71,https://www.semrush.com/analytics/phrase/?db=us&q=ebaycom&device=desktop
88,ebay official site,"18,100",1.58,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20official%20site&device=desktop
89,ebay official site,"18,100",1.58,https://www.semrush.com/analytics/phrase/?db=us&q=ebay%20official%20site&device=desktop
90,used books online,"18,100",0.62,https://www.semrush.com/analytics/phrase/?db=us&q=used%20books%20online&device=desktop
91,food trailer for sale,"18,100",0.57,https://www.semrush.com/analytics/phrase/?db=us&q=food%20trailer%20for%20sale&device=desktop
92,eby,"60,500",10.00,https://www.semrush.com/analytics/phrase/?db=us&q=eby&device=desktop
93,ebey,"14,800",2.47,https://www.semrush.com/analytics/phrase/?db=us&q=ebey&device=desktop
94,google phones,"14,800",6.48,https://www.semrush.com/analytics/phrase/?db=us&q=google%20phones&device=desktop
95,enbay,"14,800",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=enbay&device=desktop
96,acme joy,"14,800",0.15,https://www.semrush.com/analytics/phrase/?db=us&q=acme%20joy&device=desktop
97,depression glass,"14,800",0.11,https://www.semrush.com/analytics/phrase/?db=us&q=depression%20glass&device=desktop
98,ebya,"14,800",2.23,https://www.semrush.com/analytics/phrase/?db=us&q=ebya&device=desktop
99,blue sapphire,"14,800",1.27,https://www.semrush.com/analytics/phrase/?db=us&q=blue%20sapphire&device=desktop
